sig,m,eci,d,diam
GGEAXk,10,49,5,3
G?MAH{,10,49,5,3
G?Cq\S,10,49,5,3
GGEBG{,10,49,5,3
G@?Y\S,10,49,5,3
G?Oo|S,10,49,5,3
GGAAxw,10,49,5,3
G@?MB{,10,49,5,3
G?CmHs,10,49,5,3
G@@cYs,10,49,5,3
G?GQ^c,10,49,5,3
G?_qXs,10,49,5,3
G@?I^c,10,49,5,3
G?EBNo,10,49,5,3
G?CuP[,10,49,5,3
GGCP]W,10,50,5,3
GAI?~G,10,50,5,3
G?OpuW,10,50,5,3
G?@_vs,10,50,5,3
G@?MFw,10,50,5,3
G@?g}o,10,50,5,3
G?@srS,10,50,5,3
G?CrUW,10,50,5,3
G?GUXw,10,50,5,3
G?_ZJo,10,50,5,3
G@`?zW,10,50,5,3
G@GQ]W,10,50,5,3
G??X~G,10,50,5,3
G?Og~_,10,50,5,3
G@?I^g,10,50,5,3
G?L?nK,10,50,5,3
GGKQK[,10,50,5,3
G`?guK,10,50,5,3
GGCKNc,10,50,5,3
GG?[vG,10,51,5,3
G?G]Fc,10,51,5,3
G?Cq^O,10,51,5,3
G?CX^_,10,51,5,3
G?_ZN_,10,51,5,3
G?HA|g,10,51,5,3
G?B@zo,10,51,5,3
GCSqHS,10,51,5,3
G_SsHS,10,51,5,3
GC[QHK,10,51,5,3
G?C\RK,10,52,5,3
G?DbKs,10,52,5,3
G?D_vK,10,52,5,3
G_?Hb{,10,52,5,3
G?@@|w,10,52,5,3
G?D_~C,10,52,5,3
G`?G^c,10,52,5,3
G_GSZc,10,52,5,3
G?DcZc,10,52,5,3
G??y\c,10,52,5,3
G?DdIs,10,52,5,3
G@?G}w,10,52,5,3
G?G]@{,10,52,5,3
G?GY\c,10,52,5,3
G?DPT[,10,52,5,3
G@DA\K,10,52,5,3
GoCAh[,10,52,5,3
G?QHbk,10,52,5,3
G?CZKs,10,52,5,3
G@@a[s,10,52,5,3
GG??|{,10,52,5,3
G?ClQk,10,52,5,3
G?CJNg,10,52,5,3
G?Cm`[,10,52,5,3
G?D@\w,10,52,5,3
G?@Htk,10,52,5,3
G_GO^c,10,52,5,3
G?B@p{,10,52,5,3
